year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
1981,,jack tworkov,1900, biala,poland,new york,new york,provincetown,massachusetts,,,,,,,
1973,,Robert Motherwell,1915,aberdeen,washington,New York,New York,,,,,,,,,
1979,,bruce baillie,1931,aberdeen,south dakota,elizaville,new york,,,,,,,,,
2012,,Michael Clark,1962,aberdeen,scotland,london,england,new york,ny,,,,,,,
1983,,bill lundberg,1942,albany,california,new york,new york,,,,,,,,,
1983,,william crozier,1942,albany,georgia,new york,new york,,,,,,,,,
2006,,Dominic Angerame,1949,albany,new york,san francisco,california,,,,,,,,,
2010,,Robert Williams,1943,Albuquerque,New Mexico,Chatsworth,California,,,,,,,,,
1973,,Duane Hanson,1925,alexandria,minnesota,Pembroke Pines,Florida,,,,,,,,,
1977,,duan hanson,1925,alexandria,minnisota,davie,florida,,,,,,,,,
1981,,Duane Hanson ,1925,alexandria,minnesota,davie,florida,,,,,,,,,
2006,,Miles Davis,1926,alton,illinois,santa monica,california,,,1991,"RU Legal, 1991. Oil on canvas, 36 x 50 in. (91.4 x 127 cm). Anonymous collection",,,,,
2014,,Ken Okiishi,1978,Ames,IA,New York,NY,and Berlin,Germany,,,,,,,
2010,,Ari Marcopoulos,1957,Amsterdam,The Netherlands;,Sonoma,California,,,,,,,,,
2006,,David Gatten,1971,ann arbor,michigan,ithaca,new york,brooklyn,new york,,"Still from The Great Art of Knowing, 2004. 16mm film, black-and-white, silent; 37 min.",,,,,
2008,,Robert Fenz,1969,ann arbor,michigan,cambridge,Massachusetts,,,,,,,,,
2014,,Lisa Anne Auerbach,1967,Ann Arbor,MI,Los Angeles,CA,,,,,,,,,
2014,,Robert Ashley,1930,Ann Arbor,MI,New York,NY,,,2014,,,,,,
1983,,edin velez,1951,arecibo,puerto rico,new york,new york,,,,,,,,,
1973,,Kenneth Noland,1924,asheville,north carolina,New York,New York,,,,,,,,,
1979,,donald sultan,1951,asheville,north carolina,new york,new york,,,,,,,,,
2012,,Georgia Sagri,1979,athens,greece,new york,new york,,,,,,,,,
1993,,spike lee,1957,atlanta,georgia,brooklyn,new york,,,,,,,,,
2008,,Spike Lee,1957,atlanta,georgia,new york,new york,,,,,,,,,
1977,,allan kaprow,1927,atlantic city,new jersey,new york,new york,pasadena,california,,,,,,,
1973,,Jasper Johns,1930,augusta,georgia,new york,new york,,,,,,,,,
1983,,jasper johns,1930,augusta,georgia,new york,new york,,,,,,,,,
1991,,jasper Johns,1930,augusta,georgia,new york,new york,,,,,,,,,
2014,,Peter Schuyff,1958,Baarn,Netherlands,Amsterdam,Netherlands,,,,,,,,,
2000,,Dara Friedman,1968,Bad Kreuznach,Germany,Miami,fl,,,,,,,,,
